BranchKey,BranchID,BranchName,City,State,Region,BranchType
64,BR0064,Mumbai Central Branch 64,Mumbai,Maharashtra,Central,Semi-Urban
65,BR0065,Noida Central Branch 65,Noida,Uttar Pradesh,West,Semi-Urban
66,BR0066,Kolkata Central Branch 66,Kolkata,West Bengal,Central,Semi-Urban
67,BR0067,Hyderabad Central Branch 67,Hyderabad,Telangana,East,Urban
68,BR0068,Lucknow Central Branch 68,Lucknow,Uttar Pradesh,East,Urban
69,BR0069,Jaipur Central Branch 69,Jaipur,Rajasthan,South,Semi-Urban
70,BR0070,Mumbai Central Branch 70,Mumbai,Maharashtra,Central,Rural
71,BR0071,Pune Central Branch 71,Pune,Maharashtra,East,Semi-Urban
72,BR0072,Ahmedabad Central Branch 72,Ahmedabad,Gujarat,East,Urban
73,BR0073,Ahmedabad Central Branch 73,Ahmedabad,Gujarat,East,Semi-Urban
74,BR0074,Gurugram Central Branch 74,Gurugram,Haryana,North,Rural
75,BR0075,Patna Central Branch 75,Patna,Bihar,Central,Urban
76,BR0076,Chennai Central Branch 76,Chennai,Tamil Nadu,South,Metro
77,BR0077,Bengaluru Central Branch 77,Bengaluru,Karnataka,East,Semi-Urban
78,BR0078,Pune Central Branch 78,Pune,Maharashtra,West,Semi-Urban
79,BR0079,Delhi Central Branch 79,Delhi,Delhi,North,Metro
80,BR0080,Bengaluru Central Branch 80,Bengaluru,Karnataka,Central,Urban
81,BR0081,Patna Central Branch 81,Patna,Bihar,South,Semi-Urban
82,BR0082,Patna Central Branch 82,Patna,Bihar,East,Rural
83,BR0083,Bhopal Central Branch 83,Bhopal,Madhya Pradesh,West,Metro
84,BR0084,Kolkata Central Branch 84,Kolkata,West Bengal,North,Semi-Urban
85,BR0085,Delhi Central Branch 85,Delhi,Delhi,West,Urban
86,BR0086,Bhopal Central Branch 86,Bhopal,Madhya Pradesh,West,Urban
87,BR0087,Patna Central Branch 87,Patna,Bihar,North,Rural
88,BR0088,Lucknow Central Branch 88,Lucknow,Uttar Pradesh,West,Rural
89,BR0089,Noida Central Branch 89,Noida,Uttar Pradesh,East,Metro
90,BR0090,Patna Central Branch 90,Patna,Bihar,North,Semi-Urban
91,BR0091,Hyderabad Central Branch 91,Hyderabad,Telangana,Central,Semi-Urban
92,BR0092,Bhopal Central Branch 92,Bhopal,Madhya Pradesh,North,Rural
93,BR0093,Bhopal Central Branch 93,Bhopal,Madhya Pradesh,South,Metro
94,BR0094,Lucknow Central Branch 94,Lucknow,Uttar Pradesh,East,Rural
95,BR0095,Jaipur Central Branch 95,Jaipur,Rajasthan,Central,Urban
96,BR0096,Kolkata Central Branch 96,Kolkata,West Bengal,East,Rural
97,BR0097,Pune Central Branch 97,Pune,Maharashtra,East,Semi-Urban
98,BR0098,Chennai Central Branch 98,Chennai,Tamil Nadu,North,Semi-Urban
99,BR0099,Ahmedabad Central Branch 99,Ahmedabad,Gujarat,Central,Urban
100,BR0100,Pune Central Branch 100,Pune,Maharashtra,North,Semi-Urban
101,BR0101,Hyderabad Central Branch 101,Hyderabad,Telangana,South,Urban
102,BR0102,Ahmedabad Central Branch 102,Ahmedabad,Gujarat,South,Urban
103,BR0103,Chennai Central Branch 103,Chennai,Tamil Nadu,South,Semi-Urban
104,BR0104,Jaipur Central Branch 104,Jaipur,Rajasthan,North,Urban
105,BR0105,Noida Central Branch 105,Noida,Uttar Pradesh,North,Urban
106,BR0106,Delhi Central Branch 106,Delhi,Delhi,South,Semi-Urban
107,BR0107,Ahmedabad Central Branch 107,Ahmedabad,Gujarat,North,Rural
108,BR0108,Kolkata Central Branch 108,Kolkata,West Bengal,West,Urban
109,BR0109,Jaipur Central Branch 109,Jaipur,Rajasthan,West,Urban
110,BR0110,Bhopal Central Branch 110,Bhopal,Madhya Pradesh,West,Urban
111,BR0111,Pune Central Branch 111,Pune,Maharashtra,East,Urban
112,BR0112,Kolkata Central Branch 112,Kolkata,West Bengal,Central,Semi-Urban
113,BR0113,Noida Central Branch 113,Noida,Uttar Pradesh,Central,Semi-Urban
114,BR0114,Patna Central Branch 114,Patna,Bihar,Central,Rural
115,BR0115,Kochi Central Branch 115,Kochi,Kerala,South,Metro
116,BR0116,Ahmedabad Central Branch 116,Ahmedabad,Gujarat,West,Metro
117,BR0117,Bengaluru Central Branch 117,Bengaluru,Karnataka,West,Semi-Urban
118,BR0118,Jaipur Central Branch 118,Jaipur,Rajasthan,North,Urban
119,BR0119,Delhi Central Branch 119,Delhi,Delhi,East,Semi-Urban
120,BR0120,Bhopal Central Branch 120,Bhopal,Madhya Pradesh,East,Urban
121,BR0121,Patna Central Branch 121,Patna,Bihar,West,Semi-Urban
122,BR0122,Gurugram Central Branch 122,Gurugram,Haryana,North,Urban
123,BR0123,Lucknow Central Branch 123,Lucknow,Uttar Pradesh,West,Rural
124,BR0124,Bhopal Central Branch 124,Bhopal,Madhya Pradesh,South,Urban
125,BR0125,Kochi Central Branch 125,Kochi,Kerala,South,Urban
126,BR0126,Bhopal Central Branch 126,Bhopal,Madhya Pradesh,Central,Metro
127,BR0127,Ahmedabad Central Branch 127,Ahmedabad,Gujarat,Central,Semi-Urban
128,BR0128,Patna Central Branch 128,Patna,Bihar,West,Rural
129,BR0129,Hyderabad Central Branch 129,Hyderabad,Telangana,Central,Rural
130,BR0130,Kochi Central Branch 130,Kochi,Kerala,West,Semi-Urban
131,BR0131,Pune Central Branch 131,Pune,Maharashtra,East,Urban
132,BR0132,Hyderabad Central Branch 132,Hyderabad,Telangana,South,Urban
133,BR0133,Chennai Central Branch 133,Chennai,Tamil Nadu,North,Urban
134,BR0134,Kochi Central Branch 134,Kochi,Kerala,North,Semi-Urban
135,BR0135,Jaipur Central Branch 135,Jaipur,Rajasthan,East,Urban
136,BR0136,Lucknow Central Branch 136,Lucknow,Uttar Pradesh,West,Semi-Urban
137,BR0137,Gurugram Central Branch 137,Gurugram,Haryana,South,Rural
138,BR0138,Mumbai Central Branch 138,Mumbai,Maharashtra,West,Metro
139,BR0139,Delhi Central Branch 139,Delhi,Delhi,West,Metro
140,BR0140,Kochi Central Branch 140,Kochi,Kerala,East,Metro
141,BR0141,Bengaluru Central Branch 141,Bengaluru,Karnataka,East,Metro
142,BR0142,Kochi Central Branch 142,Kochi,Kerala,Central,Semi-Urban
143,BR0143,Ahmedabad Central Branch 143,Ahmedabad,Gujarat,East,Urban
144,BR0144,Kochi Central Branch 144,Kochi,Kerala,Central,Urban
145,BR0145,Kolkata Central Branch 145,Kolkata,West Bengal,North,Urban
146,BR0146,Gurugram Central Branch 146,Gurugram,Haryana,Central,Metro
147,BR0147,Bengaluru Central Branch 147,Bengaluru,Karnataka,Central,Urban
148,BR0148,Kolkata Central Branch 148,Kolkata,West Bengal,North,Urban
149,BR0149,Mumbai Central Branch 149,Mumbai,Maharashtra,South,Urban
150,BR0150,Patna Central Branch 150,Patna,Bihar,West,Rural
151,BR0151,Gurugram Central Branch 151,Gurugram,Haryana,West,Rural
152,BR0152,Ahmedabad Central Branch 152,Ahmedabad,Gujarat,East,Semi-Urban
153,BR0153,Bhopal Central Branch 153,Bhopal,Madhya Pradesh,East,Urban
154,BR0154,Lucknow Central Branch 154,Lucknow,Uttar Pradesh,South,Urban
155,BR0155,Bhopal Central Branch 155,Bhopal,Madhya Pradesh,East,Urban
156,BR0156,Bhopal Central Branch 156,Bhopal,Madhya Pradesh,West,Urban
157,BR0157,Pune Central Branch 157,Pune,Maharashtra,Central,Rural
158,BR0158,Mumbai Central Branch 158,Mumbai,Maharashtra,Central,Metro
159,BR0159,Bhopal Central Branch 159,Bhopal,Madhya Pradesh,East,Urban
160,BR0160,Patna Central Branch 160,Patna,Bihar,West,Semi-Urban
161,BR0161,Bhopal Central Branch 161,Bhopal,Madhya Pradesh,North,Rural
162,BR0162,Kochi Central Branch 162,Kochi,Kerala,North,Urban
163,BR0163,Kochi Central Branch 163,Kochi,Kerala,Central,Metro
164,BR0164,Kolkata Central Branch 164,Kolkata,West Bengal,West,Urban
165,BR0165,Noida Central Branch 165,Noida,Uttar Pradesh,Central,Urban
166,BR0166,Kolkata Central Branch 166,Kolkata,West Bengal,West,Urban
167,BR0167,Kolkata Central Branch 167,Kolkata,West Bengal,North,Metro
168,BR0168,Mumbai Central Branch 168,Mumbai,Maharashtra,East,Urban
169,BR0169,Kolkata Central Branch 169,Kolkata,West Bengal,South,Urban
170,BR0170,Hyderabad Central Branch 170,Hyderabad,Telangana,East,Metro
171,BR0171,Kolkata Central Branch 171,Kolkata,West Bengal,West,Urban
172,BR0172,Bhopal Central Branch 172,Bhopal,Madhya Pradesh,Central,Metro
173,BR0173,Jaipur Central Branch 173,Jaipur,Rajasthan,Central,Rural
174,BR0174,Lucknow Central Branch 174,Lucknow,Uttar Pradesh,North,Urban
175,BR0175,Lucknow Central Branch 175,Lucknow,Uttar Pradesh,North,Urban
176,BR0176,Gurugram Central Branch 176,Gurugram,Haryana,East,Metro
177,BR0177,Pune Central Branch 177,Pune,Maharashtra,East,Semi-Urban
178,BR0178,Lucknow Central Branch 178,Lucknow,Uttar Pradesh,South,Metro
179,BR0179,Jaipur Central Branch 179,Jaipur,Rajasthan,West,Rural
180,BR0180,Jaipur Central Branch 180,Jaipur,Rajasthan,East,Semi-Urban
181,BR0181,Noida Central Branch 181,Noida,Uttar Pradesh,East,Urban
182,BR0182,Chennai Central Branch 182,Chennai,Tamil Nadu,North,Semi-Urban
183,BR0183,Delhi Central Branch 183,Delhi,Delhi,West,Metro
184,BR0184,Pune Central Branch 184,Pune,Maharashtra,North,Urban
185,BR0185,Kochi Central Branch 185,Kochi,Kerala,South,Semi-Urban
186,BR0186,Gurugram Central Branch 186,Gurugram,Haryana,East,Metro
187,BR0187,Pune Central Branch 187,Pune,Maharashtra,East,Urban
188,BR0188,Ahmedabad Central Branch 188,Ahmedabad,Gujarat,East,Semi-Urban
189,BR0189,Bengaluru Central Branch 189,Bengaluru,Karnataka,Central,Urban
190,BR0190,Gurugram Central Branch 190,Gurugram,Haryana,West,Semi-Urban
191,BR0191,Bengaluru Central Branch 191,Bengaluru,Karnataka,North,Semi-Urban
192,BR0192,Kolkata Central Branch 192,Kolkata,West Bengal,North,Metro
193,BR0193,Mumbai Central Branch 193,Mumbai,Maharashtra,North,Urban
194,BR0194,Chennai Central Branch 194,Chennai,Tamil Nadu,South,Urban
195,BR0195,Lucknow Central Branch 195,Lucknow,Uttar Pradesh,Central,Semi-Urban
196,BR0196,Lucknow Central Branch 196,Lucknow,Uttar Pradesh,South,Semi-Urban
197,BR0197,Mumbai Central Branch 197,Mumbai,Maharashtra,West,Urban
198,BR0198,Lucknow Central Branch 198,Lucknow,Uttar Pradesh,North,Urban
199,BR0199,Noida Central Branch 199,Noida,Uttar Pradesh,North,Semi-Urban
200,BR0200,Lucknow Central Branch 200,Lucknow,Uttar Pradesh,North,Rural
201,BR0201,Mumbai Central Branch 201,Mumbai,Maharashtra,East,Urban
202,BR0202,Noida Central Branch 202,Noida,Uttar Pradesh,East,Semi-Urban
203,BR0203,Jaipur Central Branch 203,Jaipur,Rajasthan,North,Urban
204,BR0204,Bengaluru Central Branch 204,Bengaluru,Karnataka,North,Metro
205,BR0205,Gurugram Central Branch 205,Gurugram,Haryana,East,Urban
206,BR0206,Pune Central Branch 206,Pune,Maharashtra,South,Urban
207,BR0207,Chennai Central Branch 207,Chennai,Tamil Nadu,Central,Metro
208,BR0208,Delhi Central Branch 208,Delhi,Delhi,South,Metro
209,BR0209,Hyderabad Central Branch 209,Hyderabad,Telangana,Central,Semi-Urban
210,BR0210,Patna Central Branch 210,Patna,Bihar,East,Semi-Urban
211,BR0211,Ahmedabad Central Branch 211,Ahmedabad,Gujarat,North,Metro
212,BR0212,Lucknow Central Branch 212,Lucknow,Uttar Pradesh,North,Urban
213,BR0213,Pune Central Branch 213,Pune,Maharashtra,North,Urban
214,BR0214,Hyderabad Central Branch 214,Hyderabad,Telangana,South,Urban
215,BR0215,Ahmedabad Central Branch 215,Ahmedabad,Gujarat,North,Rural
216,BR0216,Pune Central Branch 216,Pune,Maharashtra,Central,Urban
217,BR0217,Chennai Central Branch 217,Chennai,Tamil Nadu,North,Urban
218,BR0218,Mumbai Central Branch 218,Mumbai,Maharashtra,East,Urban
219,BR0219,Bhopal Central Branch 219,Bhopal,Madhya Pradesh,North,Urban
220,BR0220,Mumbai Central Branch 220,Mumbai,Maharashtra,South,Semi-Urban
221,BR0221,Ahmedabad Central Branch 221,Ahmedabad,Gujarat,South,Rural
222,BR0222,Kolkata Central Branch 222,Kolkata,West Bengal,East,Urban
223,BR0223,Delhi Central Branch 223,Delhi,Delhi,West,Semi-Urban
224,BR0224,Lucknow Central Branch 224,Lucknow,Uttar Pradesh,South,Urban
225,BR0225,Bengaluru Central Branch 225,Bengaluru,Karnataka,West,Urban
226,BR0226,Patna Central Branch 226,Patna,Bihar,East,Metro
227,BR0227,Kochi Central Branch 227,Kochi,Kerala,North,Urban
228,BR0228,Chennai Central Branch 228,Chennai,Tamil Nadu,West,Rural
229,BR0229,Bhopal Central Branch 229,Bhopal,Madhya Pradesh,East,Metro
230,BR0230,Pune Central Branch 230,Pune,Maharashtra,West,Urban
231,BR0231,Kolkata Central Branch 231,Kolkata,West Bengal,West,Semi-Urban
232,BR0232,Lucknow Central Branch 232,Lucknow,Uttar Pradesh,North,Urban
233,BR0233,Bengaluru Central Branch 233,Bengaluru,Karnataka,South,Urban
234,BR0234,Delhi Central Branch 234,Delhi,Delhi,West,Urban
235,BR0235,Noida Central Branch 235,Noida,Uttar Pradesh,Central,Rural
236,BR0236,Mumbai Central Branch 236,Mumbai,Maharashtra,North,Urban
237,BR0237,Kochi Central Branch 237,Kochi,Kerala,Central,Metro
238,BR0238,Hyderabad Central Branch 238,Hyderabad,Telangana,North,Metro
239,BR0239,Bhopal Central Branch 239,Bhopal,Madhya Pradesh,North,Urban
240,BR0240,Noida Central Branch 240,Noida,Uttar Pradesh,South,Urban
241,BR0241,Delhi Central Branch 241,Delhi,Delhi,Central,Urban
242,BR0242,Kolkata Central Branch 242,Kolkata,West Bengal,West,Urban
243,BR0243,Kochi Central Branch 243,Kochi,Kerala,North,Rural
244,BR0244,Pune Central Branch 244,Pune,Maharashtra,Central,Semi-Urban
245,BR0245,Ahmedabad Central Branch 245,Ahmedabad,Gujarat,Central,Urban
246,BR0246,Chennai Central Branch 246,Chennai,Tamil Nadu,South,Semi-Urban
247,BR0247,Bengaluru Central Branch 247,Bengaluru,Karnataka,Central,Semi-Urban
248,BR0248,Chennai Central Branch 248,Chennai,Tamil Nadu,West,Metro
249,BR0249,Patna Central Branch 249,Patna,Bihar,Central,Semi-Urban
250,BR0250,Chennai Central Branch 250,Chennai,Tamil Nadu,South,Rural
251,BR0251,Ahmedabad Central Branch 251,Ahmedabad,Gujarat,North,Semi-Urban
252,BR0252,Delhi Central Branch 252,Delhi,Delhi,Central,Urban
253,BR0253,Noida Central Branch 253,Noida,Uttar Pradesh,Central,Urban
254,BR0254,Hyderabad Central Branch 254,Hyderabad,Telangana,East,Urban
255,BR0255,Gurugram Central Branch 255,Gurugram,Haryana,West,Urban
256,BR0256,Kolkata Central Branch 256,Kolkata,West Bengal,West,Urban
257,BR0257,Patna Central Branch 257,Patna,Bihar,West,Urban
258,BR0258,Kolkata Central Branch 258,Kolkata,West Bengal,Central,Metro
259,BR0259,Jaipur Central Branch 259,Jaipur,Rajasthan,West,Metro
260,BR0260,Bengaluru Central Branch 260,Bengaluru,Karnataka,West,Metro
261,BR0261,Bhopal Central Branch 261,Bhopal,Madhya Pradesh,East,Rural
262,BR0262,Ahmedabad Central Branch 262,Ahmedabad,Gujarat,South,Urban
263,BR0263,Mumbai Central Branch 263,Mumbai,Maharashtra,South,Metro
264,BR0264,Noida Central Branch 264,Noida,Uttar Pradesh,North,Urban
265,BR0265,Bengaluru Central Branch 265,Bengaluru,Karnataka,East,Semi-Urban
266,BR0266,Hyderabad Central Branch 266,Hyderabad,Telangana,Central,Semi-Urban
267,BR0267,Jaipur Central Branch 267,Jaipur,Rajasthan,North,Rural
268,BR0268,Jaipur Central Branch 268,Jaipur,Rajasthan,West,Urban
269,BR0269,Pune Central Branch 269,Pune,Maharashtra,North,Rural
270,BR0270,Ahmedabad Central Branch 270,Ahmedabad,Gujarat,South,Rural
271,BR0271,Bengaluru Central Branch 271,Bengaluru,Karnataka,North,Urban
272,BR0272,Kolkata Central Branch 272,Kolkata,West Bengal,North,Rural
273,BR0273,Patna Central Branch 273,Patna,Bihar,East,Urban
274,BR0274,Jaipur Central Branch 274,Jaipur,Rajasthan,West,Urban
275,BR0275,Kochi Central Branch 275,Kochi,Kerala,Central,Semi-Urban
276,BR0276,Lucknow Central Branch 276,Lucknow,Uttar Pradesh,Central,Rural
277,BR0277,Mumbai Central Branch 277,Mumbai,Maharashtra,East,Metro
278,BR0278,Gurugram Central Branch 278,Gurugram,Haryana,East,Semi-Urban
279,BR0279,Bhopal Central Branch 279,Bhopal,Madhya Pradesh,Central,Rural
280,BR0280,Pune Central Branch 280,Pune,Maharashtra,North,Metro
281,BR0281,Jaipur Central Branch 281,Jaipur,Rajasthan,West,Metro
282,BR0282,Gurugram Central Branch 282,Gurugram,Haryana,Central,Semi-Urban
283,BR0283,Kochi Central Branch 283,Kochi,Kerala,North,Semi-Urban
284,BR0284,Lucknow Central Branch 284,Lucknow,Uttar Pradesh,North,Urban
285,BR0285,Patna Central Branch 285,Patna,Bihar,South,Rural
286,BR0286,Noida Central Branch 286,Noida,Uttar Pradesh,East,Urban
287,BR0287,Patna Central Branch 287,Patna,Bihar,Central,Urban
288,BR0288,Ahmedabad Central Branch 288,Ahmedabad,Gujarat,Central,Semi-Urban
289,BR0289,Kochi Central Branch 289,Kochi,Kerala,West,Urban
290,BR0290,Kolkata Central Branch 290,Kolkata,West Bengal,Central,Urban
291,BR0291,Bhopal Central Branch 291,Bhopal,Madhya Pradesh,North,Urban
292,BR0292,Delhi Central Branch 292,Delhi,Delhi,North,Semi-Urban
293,BR0293,Gurugram Central Branch 293,Gurugram,Haryana,West,Metro
294,BR0294,Lucknow Central Branch 294,Lucknow,Uttar Pradesh,North,Urban
295,BR0295,Ahmedabad Central Branch 295,Ahmedabad,Gujarat,North,Rural
296,BR0296,Noida Central Branch 296,Noida,Uttar Pradesh,Central,Semi-Urban
297,BR0297,Chennai Central Branch 297,Chennai,Tamil Nadu,East,Metro
298,BR0298,Patna Central Branch 298,Patna,Bihar,Central,Urban
299,BR0299,Pune Central Branch 299,Pune,Maharashtra,South,Urban
300,BR0300,Gurugram Central Branch 300,Gurugram,Haryana,West,Semi-Urban
301,BR0301,Kochi Central Branch 301,Kochi,Kerala,North,Metro
302,BR0302,Delhi Central Branch 302,Delhi,Delhi,Central,Metro
303,BR0303,Pune Central Branch 303,Pune,Maharashtra,Central,Semi-Urban
304,BR0304,Bhopal Central Branch 304,Bhopal,Madhya Pradesh,North,Rural
305,BR0305,Ahmedabad Central Branch 305,Ahmedabad,Gujarat,West,Urban
306,BR0306,Delhi Central Branch 306,Delhi,Delhi,Central,Rural
307,BR0307,Patna Central Branch 307,Patna,Bihar,East,Urban
308,BR0308,Noida Central Branch 308,Noida,Uttar Pradesh,North,Semi-Urban
309,BR0309,Kochi Central Branch 309,Kochi,Kerala,West,Urban
310,BR0310,Pune Central Branch 310,Pune,Maharashtra,South,Semi-Urban
311,BR0311,Noida Central Branch 311,Noida,Uttar Pradesh,North,Metro
312,BR0312,Gurugram Central Branch 312,Gurugram,Haryana,South,Urban
313,BR0313,Delhi Central Branch 313,Delhi,Delhi,North,Rural
314,BR0314,Kochi Central Branch 314,Kochi,Kerala,Central,Semi-Urban
315,BR0315,Gurugram Central Branch 315,Gurugram,Haryana,West,Urban
316,BR0316,Kochi Central Branch 316,Kochi,Kerala,East,Urban
317,BR0317,Chennai Central Branch 317,Chennai,Tamil Nadu,South,Semi-Urban
318,BR0318,Mumbai Central Branch 318,Mumbai,Maharashtra,South,Metro
319,BR0319,Chennai Central Branch 319,Chennai,Tamil Nadu,North,Metro
320,BR0320,Delhi Central Branch 320,Delhi,Delhi,South,Semi-Urban
321,BR0321,Patna Central Branch 321,Patna,Bihar,North,Urban
322,BR0322,Pune Central Branch 322,Pune,Maharashtra,North,Semi-Urban
323,BR0323,Noida Central Branch 323,Noida,Uttar Pradesh,South,Metro
324,BR0324,Chennai Central Branch 324,Chennai,Tamil Nadu,South,Urban
325,BR0325,Patna Central Branch 325,Patna,Bihar,Central,Urban
326,BR0326,Gurugram Central Branch 326,Gurugram,Haryana,Central,Semi-Urban
327,BR0327,Hyderabad Central Branch 327,Hyderabad,Telangana,Central,Semi-Urban
328,BR0328,Mumbai Central Branch 328,Mumbai,Maharashtra,West,Urban
329,BR0329,Bhopal Central Branch 329,Bhopal,Madhya Pradesh,East,Rural
330,BR0330,Kolkata Central Branch 330,Kolkata,West Bengal,Central,Semi-Urban
331,BR0331,Noida Central Branch 331,Noida,Uttar Pradesh,Central,Urban
332,BR0332,Jaipur Central Branch 332,Jaipur,Rajasthan,North,Semi-Urban
333,BR0333,Kochi Central Branch 333,Kochi,Kerala,East,Semi-Urban
334,BR0334,Pune Central Branch 334,Pune,Maharashtra,South,Urban
335,BR0335,Jaipur Central Branch 335,Jaipur,Rajasthan,West,Metro
336,BR0336,Bhopal Central Branch 336,Bhopal,Madhya Pradesh,South,Metro
337,BR0337,Mumbai Central Branch 337,Mumbai,Maharashtra,North,Rural
338,BR0338,Patna Central Branch 338,Patna,Bihar,West,Rural
339,BR0339,Delhi Central Branch 339,Delhi,Delhi,Central,Metro
340,BR0340,Kolkata Central Branch 340,Kolkata,West Bengal,East,Semi-Urban
341,BR0341,Ahmedabad Central Branch 341,Ahmedabad,Gujarat,East,Rural
342,BR0342,Hyderabad Central Branch 342,Hyderabad,Telangana,Central,Rural
343,BR0343,Kolkata Central Branch 343,Kolkata,West Bengal,South,Urban
344,BR0344,Mumbai Central Branch 344,Mumbai,Maharashtra,South,Semi-Urban
345,BR0345,Bhopal Central Branch 345,Bhopal,Madhya Pradesh,Central,Urban
346,BR0346,Patna Central Branch 346,Patna,Bihar,Central,Metro
347,BR0347,Kochi Central Branch 347,Kochi,Kerala,East,Urban
348,BR0348,Kolkata Central Branch 348,Kolkata,West Bengal,South,Urban
349,BR0349,Noida Central Branch 349,Noida,Uttar Pradesh,West,Urban
350,BR0350,Patna Central Branch 350,Patna,Bihar,West,Metro
351,BR0351,Ahmedabad Central Branch 351,Ahmedabad,Gujarat,North,Semi-Urban
352,BR0352,Ahmedabad Central Branch 352,Ahmedabad,Gujarat,North,Rural
353,BR0353,Delhi Central Branch 353,Delhi,Delhi,North,Semi-Urban
354,BR0354,Kochi Central Branch 354,Kochi,Kerala,South,Urban
355,BR0355,Noida Central Branch 355,Noida,Uttar Pradesh,West,Urban
